t,NO2
2025-09-20,1.184835136e-05
2025-09-21,7.038293292857142e-06
2025-09-22,6.763312299999999e-06
2025-09-23,1.2241179491666667e-05
2025-09-24,1.6843698266153846e-05
2025-09-25,2.41103528125e-05
2025-09-26,5.624312333333333e-06
2025-09-27,3.701341e-06
2025-09-28,1.5854973952380955e-05
2025-09-29,1.2106997636363635e-05
2025-09-30,1.71577994e-05
2025-10-01,2.9784197e-05
2025-10-02,2.001142209523809e-05
2025-10-03,1.350085752e-05
2025-10-04,1.364369506551724e-05
2025-10-05,2.3473446725e-05
2025-10-06,1.4584328083333333e-05
2025-10-07,1.875450244e-05
2025-10-08,4.476901163333333e-06
2025-10-09,1.1637951344444444e-05
2025-10-10,1.7571134091666666e-05
2025-10-11,1.6148223745833332e-05
2025-10-12,1.47253134e-05
2025-10-13,1.6735781e-05
2025-10-14,1.745478180909091e-05
2025-10-15,2.0364775374074076e-05
2025-10-16,2.2324584e-05
2025-10-17,1.552259205263158e-05
2025-10-18,1.8839704494736843e-05
2025-10-19,2.1641157e-05
2025-10-20,2.1641157e-05
